segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,segmentData17,segmentData18,segmentData19,segmentData20,segmentData21,segmentData22,segmentData23,segmentData24,segmentData25,segmentData26,segmentData27,segmentData28,segmentData29,segmentData30,segmentData31,segmentData32,segmentData33,segmentData34,segmentData35,segmentData36,segmentData37,segmentData38,segmentData39,segmentData40,segmentData41,segmentData42,segmentData43,segmentData44,segmentData45,segmentData46,segmentData47,segmentData48,segmentData49,segmentData50,segmentData51,segmentData52,segmentData53,segmentData54,segmentData55,segmentData56,segmentData57,segmentData58,segmentData59,segmentData60,segmentData61,segmentData62,segmentData63,segmentData64,labels
-25.65153,-10.30576,6.250928,-29.26803,-23.67754,-26.40048,19.24765,-5.496447,-34.89655,-31.20566,-10.27993,-60.92436,33.16942,-7.61688,-73.53972,9.049707,-45.53798,-30.74018,-60.67237,-38.79797,-37.69558,-45.86728,-70.00264,6.215361,-51.24194,9.527674,-49.85947,-44.55507,-24.99693,-12.55243,-24.30948,-33.87208,-22.35576,-43.32425,-53.05775,-34.71025,19.07432,-16.56137,8.599705,-1.739528,-13.59469,-9.075628,-56.52801,25.40108,-28.06612,-2.284436,-54.62861,-36.3321,-27.69257,-50.66783,-36.16998,34.61652,-13.20561,6.118473,-17.38708,28.40604,-59.22305,-29.39786,33.8309,40.83258,-41.52364,-23.95065,5.308939,-22.00618,TASK4T1
-66.90385,-8.291174,16.09043,-34.11573,-26.07919,-26.67162,21.15479,-18.02232,-37.1171,-31.07091,-10.34445,-51.30492,37.06642,-12.85116,-61.24995,20.71524,-49.30831,-26.54016,-64.22506,-38.60166,-32.42898,-48.09199,-70.10894,-4.963848,-33.65053,2.437275,-52.38973,-46.16317,-12.58176,-24.64806,-34.95336,-44.00859,-27.55399,-48.77661,-51.2092,-35.59845,22.64499,-7.637068,-26.87787,5.192492,-9.695568,11.03821,-70.71578,19.67785,-5.578789,12.73465,-26.93782,-22.86825,-17.5529,-44.24646,-26.08204,31.46452,-1.606039,4.70349,-1.853677,55.22543,-38.91023,-16.81695,47.89919,52.72235,-4.518082,2.875364,19.15791,11.70438,TASK4T1
-10.6821,-23.07516,14.98413,-31.1581,-24.94225,-21.75688,32.54313,7.075162,-48.31077,-32.16432,-11.72383,-55.19865,43.85244,-2.560983,-42.01852,29.19496,-38.83097,-24.39036,-56.00468,-37.31502,-35.07786,-39.90097,-58.78652,27.2887,-27.35944,14.22753,-43.8395,-37.88047,12.14263,-9.12533,-8.75488,-33.05672,-19.15064,-44.24893,-50.52355,-39.41388,13.10687,-44.39452,-5.345066,-20.62677,-17.01165,-1.142023,-74.2443,18.29149,-25.53403,-10.70267,-52.59048,-39.17827,-38.2275,-65.1917,-48.79784,4.165493,-30.05337,-26.95033,-17.13647,14.21504,-74.396,-51.41678,19.81787,20.50609,-59.73788,-49.9929,-14.57038,-62.25243,TASK4T1
9.415732,-5.729726,13.67634,-43.86443,-38.04082,-35.24425,11.5713,2.986121,-43.42003,-43.07674,-19.27014,-66.74674,24.64351,-27.91587,-60.73631,5.402313,-68.63034,-37.08704,-73.52206,-56.24696,-50.37713,-49.10319,-68.40237,13.96667,-44.17082,2.870366,-55.2198,-42.76102,-13.18829,-41.56243,-43.1203,-54.96691,-41.82937,-54.95759,-60.61964,-39.32482,14.34454,-17.22447,1.923967,0.8310229,-4.574957,13.63863,-82.38991,-11.814,-20.62794,-0.8194388,-50.90817,-49.43117,-40.36762,-68.22478,-44.33752,27.47295,-18.49529,-12.32048,-8.01969,13.1439,-61.76588,-42.9404,31.55798,28.13283,-61.7404,-45.68583,-10.58281,-59.84743,TASK4T1
-85.8327,-13.29897,17.28051,-39.54349,-25.05117,-19.59735,15.19946,-17.62552,-51.25354,-34.29454,-3.56969,-49.53369,42.37954,-10.34725,-55.71947,13.56683,-46.54536,-23.62539,-62.46713,-34.42188,-46.24829,-46.67144,-66.26382,12.94442,-41.05972,9.617821,-48.26427,-35.5724,-4.837722,-30.69526,-25.32131,-40.28906,-28.28745,-45.88256,-46.44778,-36.28146,13.12547,-12.28993,-4.094775,-16.44237,-27.11281,-23.87017,-69.71685,43.40702,-19.35143,-10.1985,-47.43945,-36.20322,-34.48964,-74.72311,-40.79174,30.52709,-16.44928,-15.94422,-18.62147,18.1531,-52.90001,-36.89232,22.58039,22.50169,-30.22682,-28.73569,-6.20865,-31.90743,TASK4T1
-13.31762,-8.534947,18.94755,-30.69843,-21.19172,-22.20949,21.01935,1.138761,-38.00171,-26.29963,-4.454782,-38.98524,50.52633,5.118145,-28.54132,34.39569,-39.05367,-22.18867,-54.65656,-23.7209,-31.79606,-42.45363,-62.20504,17.56143,-22.45221,22.04777,-39.21196,-34.72176,0.9744351,-19.15299,-8.326168,-30.19728,-18.24073,-35.31176,-29.28099,-22.38703,30.43985,-8.922915,35.28371,11.14056,26.23161,9.918554,-67.52354,6.358165,11.63989,10.56515,-13.69012,-12.73918,-7.823022,-40.19562,-18.87493,49.0557,14.04516,4.502385,1.417817,44.91586,-25.30931,-13.68577,42.79644,41.73708,-5.644802,-5.636151,15.98798,5.478545,TASK4T1
-4.719256,9.496128,39.18586,-25.68983,-17.84031,-2.854324,18.3356,16.70018,-27.05566,-20.85461,4.368484,-37.13062,56.9184,3.667846,-16.0827,27.32723,-36.03112,-17.26067,-54.12533,-35.57402,-37.94231,-40.52913,-60.73629,28.25307,-28.75412,13.63112,-51.20657,-54.68551,16.69379,-38.04786,-28.89505,-50.07027,-36.43745,-55.86606,-49.57304,-44.43098,3.88527,-48.6322,5.883411,-17.23532,2.103111,5.629904,-66.38269,18.42271,-1.01316,0.2678153,-23.21866,-23.24258,-26.47825,-46.84864,-28.52605,37.47551,-0.9712622,-4.055554,0.2496253,37.8188,-28.80241,-25.49504,48.70542,38.9467,-21.15173,-17.83128,9.508224,-22.39407,TASK4T1
-16.1358,-3.894026,21.05753,-32.48759,-19.99565,-8.587262,19.10956,1.817111,-32.35854,-21.79367,8.425239,-32.6924,55.84979,-3.912998,-19.62037,35.5675,-32.48177,-8.605972,-38.10429,-12.5166,-26.94387,-42.08632,-54.71755,12.6035,-31.41914,28.67803,-32.55559,-10.07248,-4.492936,-33.69785,-6.539956,-31.67127,-11.38356,-30.86118,-23.13888,-10.55762,30.82563,11.6034,15.85164,13.02148,11.03091,6.505281,-62.68631,16.68141,-29.66981,11.05267,-19.76054,-12.18487,-10.30545,-47.97631,-21.11466,43.50946,0.01612442,-9.952454,6.66232,27.52955,-29.82156,-22.27831,47.93885,32.79499,-28.6156,-25.07047,9.808684,-37.45294,TASK4T1
-19.21894,10.40806,38.25066,-16.61568,-2.040765,4.656779,18.76656,11.44161,-17.92576,-11.92284,18.8149,-23.96402,66.6441,12.4219,-21.26657,34.34133,-30.41057,-5.769169,-46.75658,-17.82686,-35.48083,-44.24277,-58.39741,48.77835,-22.55306,25.28196,-36.11226,-24.63239,23.20731,-36.69507,-11.29313,-35.42365,-23.81198,-37.63725,-21.87223,-22.93827,14.79461,-6.694179,6.929774,-1.185147,15.15822,17.64668,-65.62111,19.29844,16.16941,12.54292,-30.93402,-26.57248,-19.01966,-54.87672,-20.89299,46.72034,10.13958,3.871283,15.90084,27.35233,-31.25238,-21.79165,44.24152,34.36716,-24.97057,-18.93496,11.8161,-21.73451,TASK4T1
9.567473,-16.80925,-57.38816,-17.03934,-16.43053,-22.00456,-54.02842,-12.29331,-18.63314,-10.94396,16.69843,29.93153,-55.71143,-30.97418,48.73565,-55.82383,-39.1629,-0.274168,-10.50491,-34.2971,12.52177,4.531752,15.23847,-28.10174,-27.56894,-14.86438,-21.90641,-10.41406,-60.12587,9.866444,-6.501744,-13.9501,-27.78509,-11.46684,-3.766227,0.3462482,-8.688896,-10.18758,-26.42085,-27.18687,-7.483735,-52.50352,39.55769,-37.87423,17.32158,-19.17352,-13.96128,-13.31289,18.20262,5.924058,-7.787825,-10.29808,-2.734159,-69.03897,2.727185,-48.64951,-9.07339,-4.515306,-12.04159,48.26559,-12.08448,6.069214,-70.91389,5.254896,TASK4T0
