segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,labels
1.879146,1.576759,-0.1084171,2.741578,1.272461,7.311217,1.914307,-1.961673,-0.301073,1.769697,5.099259,3.913039,5.131508,3.586285,2.262697,boundary
-5.623533,5.023076,-0.823243,-3.114267,-0.1343085,-6.64283,13.21214,-4.256015,0.7160915,-10.50592,-1.962917,-8.729614,-4.311893,3.110522,-1.243628,boundary
-3.20807,-2.505111,-6.077318,-4.67794,-7.793636,-3.225155,-8.289764,-1.312471,-0.9505532,-0.6277981,-6.817412,-9.48033,-6.649894,-9.300294,-8.677003,boundary
-2.300464,-6.191369,-6.46802,-5.276505,-8.056808,0.3456317,-10.78779,-2.652817,-3.126855,5.896808,-10.3335,-9.856932,-5.598106,-9.621411,-7.989931,boundary
-9.32655,0.635547,-5.574189,-7.72181,-7.610221,-15.56666,2.759531,-4.419833,-0.7069642,-8.938176,-13.51124,-18.45508,-13.66519,-7.594662,-7.423656,boundary
-9.423484,-7.156819,-10.54367,-12.51852,-14.72263,-11.10482,-16.25603,-3.359095,0.3052955,-3.01798,-20.77615,-21.61233,-16.22798,-20.2028,-17.36748,boundary
-1.988081,-8.161163,-9.336471,-7.713631,-13.02332,-2.685853,-13.73792,-0.518789,-2.663999,4.441222,-18.62441,-16.97091,-8.092466,-17.21921,-12.0145,boundary
-8.803925,-6.471425,-10.15004,-11.73863,-15.09315,-15.01271,-13.09968,-2.71086,-2.474141,2.637266,-23.88982,-24.22519,-17.51581,-19.10331,-14.67085,boundary
-8.638877,-4.434544,-5.474268,-9.130477,-6.582157,-16.60481,-6.91719,-1.933267,-2.800715,-8.992921,-17.05716,-15.49019,-14.08386,-9.464023,-8.07445,S  2
-10.25235,-6.785243,-5.425162,-10.66755,-7.164581,-17.0718,-16.54115,-1.901667,-1.00217,-7.110428,-16.61045,-15.83017,-14.6538,-15.21093,-9.298073,S  2
-9.076454,-7.28945,-6.027679,-10.7136,-11.35791,-16.34534,-11.03734,-2.474671,-1.731286,-5.20596,-21.89366,-23.37161,-16.82559,-16.94667,-13.53241,S  2
-7.927341,-10.15349,-8.077925,-10.56263,-13.1171,-17.30738,-13.20299,-0.24881,-3.855568,-3.518675,-23.85351,-26.34056,-16.39124,-15.05943,-14.14255,S  2
-9.069194,-8.999629,-6.992669,-11.07942,-9.421762,-15.02228,-11.67359,-1.594352,-1.538559,-8.256678,-16.51171,-17.78846,-14.01583,-10.45571,-9.613637,S  2
-7.285784,-5.646904,-6.376085,-10.30342,-7.34238,-11.86724,-8.584435,-2.428633,-0.3785427,1.907865,-13.45506,-15.4142,-13.29764,-9.064962,-9.845856,S  2
-9.641304,-11.81497,-9.483603,-12.95962,-13.08944,-15.30291,-13.32699,-1.580592,-3.088768,-2.379684,-21.35961,-23.21325,-16.18039,-16.24917,-15.83547,S  2
-6.083541,-11.65772,-7.65299,-9.000104,-12.87227,-8.930012,-17.11322,-0.8401892,-2.643484,-4.965497,-15.60533,-16.4007,-11.09926,-13.32257,-10.98232,S  2
-2.286371,-6.751307,-4.561583,-5.017585,-4.094965,-1.669917,-5.25188,-1.538447,-0.1796162,4.855361,-4.165514,-5.781156,-4.064827,-2.292996,-3.117464,S  2
-8.922801,-6.509424,-8.492813,-11.76347,-7.144072,-9.287039,-2.344084,-2.084072,-0.8328432,-1.636351,-7.145474,-8.161011,-10.27194,-6.280406,-8.368609,S  2
-5.601224,-6.641561,-5.647739,-7.407353,-9.430269,-4.683069,-16.80619,-1.108791,-0.7487132,-2.235317,-10.9445,-11.06769,-6.72719,-12.41075,-8.775801,S  2
0.9451889,-7.887432,-3.5039,-1.063483,-4.515776,4.283994,-5.452804,-0.4870522,-0.8489329,6.061949,-1.452898,-1.04364,1.477346,-3.05453,-1.06832,S  2
-2.133098,-1.732202,-3.728186,-3.069028,-0.9123811,1.46744,4.957114,0.5666789,0.1228205,2.664353,7.898865,6.556492,0.567149,4.531736,1.813935,S  2
