segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,segmentData17,labels
2.615437,2.870296,-2.059704,11.03692,0.04014473,0.2931934,1.255144,2.029393,0.8949394,6.655073,9.356875,4.195684,3.239325,2.978553,0.9867451,2.823522,-0.5237011,S  2
1.595671,-1.077069,-3.860677,8.163871,-4.67892,2.176216,-6.267079,0.7522844,0.90033,4.096038,9.927983,-2.81868,-20.55454,-10.49194,-1.923808,-6.029388,-4.573494,S  2
-3.659292,-2.993502,-6.308108,4.375012,-6.338198,-8.014748,-7.950704,-0.1597646,1.361679,-2.658034,8.873009,-16.50263,-7.590659,-12.98472,-7.497086,-7.410258,-7.264272,S  2
-2.122138,1.316126,-5.000698,8.217469,-3.594091,-5.025214,-3.67027,1.02247,1.328991,0.4071508,9.445505,4.496809,-4.693563,-1.936484,-3.640392,-2.731033,-3.695806,S  2
-3.324217,3.307436,-5.10309,7.954504,-3.677665,-2.272903,-5.033792,-0.8487837,3.811498,-2.804605,17.74359,1.11733,-14.94205,-6.69197,-3.830861,-5.230431,-5.305447,S  2
-2.207238,-0.4168257,-0.8125483,0.8376332,0.3104185,-4.30181,-0.4581252,-0.176841,-1.987873,-4.134166,-3.247712,3.637126,-2.238349,-4.128915,-2.637587,1.348438,-0.5089022,S  5
-1.918929,-0.5071842,-1.706934,0.09427658,0.3738148,-4.183165,-3.306921,0.1359475,-0.7429879,-2.429096,-4.845583,-5.881182,-4.928208,-7.41712,-2.708249,-0.7066292,-1.355673,S  5
-0.7052442,4.120935,-1.594468,2.073699,2.272,-2.251879,4.403331,1.083153,0.03796102,-1.221007,-1.099438,-3.410838,5.704392,-0.5057602,0.2616837,4.405429,0.6239068,S  5
-0.05935537,4.042752,0.9251847,2.726873,2.426554,0.03730796,1.660247,0.6643623,-1.654603,0.1189531,0.7631014,9.473008,-2.779013,-2.928122,1.81351,2.129471,0.18234,S  5
3.723289,-0.3208382,2.181607,6.242488,3.562112,2.379397,-1.880704,1.457459,-1.559304,1.069236,-3.346946,-2.478526,1.100108,-3.381563,2.142584,2.070534,2.627393,S  5
6.540134,4.940003,2.608448,9.081048,5.055456,6.038975,3.373897,3.563135,-1.424055,6.333703,-1.478188,11.07594,11.71589,9.060019,7.682516,6.480035,6.662288,S  5
7.05976,4.469665,2.883942,6.449504,4.443704,10.1042,2.634599,3.682492,-1.440006,4.750867,0.2209246,13.51882,4.953231,2.945602,9.286264,4.614418,4.665685,S  5
9.33763,1.845603,2.96991,9.30145,2.997591,9.54461,0.2543673,2.994849,-1.049118,5.092877,0.6831135,4.739587,1.535133,1.088491,6.979588,2.578324,2.87275,S  5
7.20471,2.087394,3.218975,7.995926,2.861475,7.007764,0.5085372,3.943751,-1.334212,9.363151,-0.9306839,11.59381,10.71162,8.331962,6.317617,3.849407,6.376882,S  5
7.454815,0.2587356,1.431668,4.797146,1.974993,10.44897,-1.275227,3.573114,-1.245618,5.594105,-3.691585,5.895277,5.956096,2.805729,6.837719,2.575028,4.46317,S  5
5.500816,1.022413,0.8263146,2.494409,0.5815291,5.353833,0.839528,1.882411,0.5708688,0.809479,0.5633696,5.55361,1.098227,2.339757,3.591187,2.888401,0.4981661,S  5
0.5352002,-1.839061,-0.06229175,-0.1800075,-2.156097,0.1062041,-2.17047,1.45663,0.6011178,3.734145,-0.4150563,3.225053,7.063022,2.318551,-1.098333,-0.2483351,-0.02212944,S  5
-0.9832374,-3.098761,-2.450096,-4.987448,-3.5386,-2.086581,-5.071549,0.2807275,1.79595,1.191993,-2.126334,-7.699648,-8.633117,-6.935306,-5.049529,-3.85205,-2.757109,S  5
-4.281281,-0.5102162,-1.304937,-6.897975,-0.6289792,-4.831989,1.877184,-1.428875,2.363312,-5.46701,-1.435091,-2.828941,7.114644,0.9818366,-4.574221,4.73508,-1.022835,S  5
-5.144457,-2.948894,-1.59519,-7.091608,-3.785036,-5.647752,-2.929277,-1.493165,2.301619,-3.086922,-0.6747976,0.4733952,2.097301,0.03810721,-5.575937,-1.394891,-4.172194,S  5
-5.551744,-4.377896,-2.236,-10.4721,-4.058613,-10.32667,-3.357783,-1.180168,3.911936,-1.805955,-0.1449036,-11.19768,-10.63303,-8.076222,-9.817772,-3.304759,-5.11113,S  5
-6.326161,1.314316,0.3222059,-8.19881,0.07800701,-5.033198,3.382655,-2.488859,4.047768,-3.54296,1.861549,-2.090165,10.16599,2.354427,-4.340909,4.997395,0.2793624,S  5
-3.404243,0.2024083,1.490075,-6.33348,-0.5196372,-3.1211,0.3712095,-1.622448,2.81285,-2.95982,0.6060929,-1.074363,-4.457234,-3.232169,-3.717331,1.379873,-2.092445,S  5
0.09212585,-2.322406,2.667534,-3.876826,1.110537,-2.711931,1.469364,0.2117676,1.311895,2.976228,-1.388037,1.460558,6.023779,5.870524,-0.6814579,3.744539,1.282188,S  5
2.436179,0.9511854,5.957253,-1.197485,2.546062,5.947242,3.192488,0.8892183,3.248316,3.90468,2.210449,10.77341,10.29235,8.562527,5.642432,5.559681,5.004163,S  5
4.728862,4.46206,6.551112,1.539655,3.679767,6.665862,3.943008,1.433084,1.75647,3.500829,4.072629,-1.038629,-6.860726,-4.624605,4.230916,3.910269,3.053388,S  5
-1.162816,2.149862,-3.430421,-5.235169,-4.26718,-2.478851,-7.136312,2.226323,-0.5266795,-0.1755558,-2.410687,-11.51545,-12.17064,-9.851405,-3.888634,-7.130704,-5.877541,S  7
