segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,labels
2.815405,2.271697,0.07352309,3.477365,3.790335,4.506802,2.766121,1.68271,1.247042,6.955435,-0.1022301,7.737638,6.832982,5.289209,5.292835,4.957266,boundary
3.142169,-0.4830346,0.9019558,4.217165,2.590047,6.02904,1.076077,0.9281366,0.08588558,5.620832,-4.159769,8.140938,7.302858,6.1569,3.429779,5.568371,boundary
-0.236155,2.985871,-0.7939594,0.9734558,2.751546,1.580803,6.542059,-1.19792,1.106524,2.572858,2.759137,6.07736,1.99208,2.6092,4.538509,2.07768,boundary
2.531299,1.908284,-0.5421053,1.459541,1.399318,4.425879,3.652854,0.4802474,0.9331524,7.136478,3.761474,1.46104,3.999549,2.525305,3.606951,2.015843,boundary
1.573038,1.415001,1.003695,3.361847,3.334887,3.92324,2.586574,1.573632,1.407119,4.023219,-0.9959048,4.997795,6.813635,3.231479,3.479294,4.271341,boundary
-0.08866949,8.029995,-0.2201442,1.613006,4.405908,4.153283,15.18222,-2.143641,3.271284,0.2504514,11.36009,3.609762,2.716639,3.489124,8.086162,3.232776,boundary
-0.6811507,0.7236571,0.1164119,0.2906235,0.7938611,1.452169,2.60783,-1.053065,-0.4555255,1.636042,3.757003,-0.1385711,5.825506,0.5643876,1.835266,1.276239,boundary
2.252008,3.646885,1.238567,3.125583,3.511828,5.455892,5.9734,0.847252,1.553953,4.668204,5.232376,3.350286,8.321144,1.342894,4.833564,3.437343,boundary
0.9025268,9.583516,2.080247,3.889799,6.635949,5.905345,18.77593,-0.9017106,3.376916,-0.5834543,14.03054,3.085318,6.472498,4.47695,10.87132,5.934749,boundary
1.091822,3.078768,2.791126,4.38727,4.552609,5.098331,6.24262,-0.227884,0.1518317,1.149009,5.753104,6.393734,14.12073,4.225546,5.667498,5.945704,boundary
1.860393,3.440822,1.812381,0.7212622,2.235687,7.453572,7.11288,0.8302979,0.7502195,5.553072,5.163552,7.21257,8.117923,3.773165,4.756837,1.737128,boundary
