segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,labels
2.984371,0.9896424,1.08258,-2.38239,8.942513,3.238987,0.5683829,5.372268,0.449854,0.5364237,-0.3323115,3.418347,0.0623278,-0.05827235,boundary
1.928693,1.126776,2.242699,-0.1211828,37.30442,8.425648,-0.07090199,5.016384,3.91303,3.039198,1.777289,9.978814,3.480765,1.541174,boundary
0.5388317,-1.648813,-2.621963,-1.526978,-8.320673,-1.906027,0.9555226,-1.644795,0.139524,0.300318,-0.6073251,-2.38564,-0.6086842,-0.8480132,boundary
-2.160566,-1.580104,1.989615,-1.584021,2.100469,0.2222013,-1.806529,-6.204718,1.478952,1.335259,2.559942,2.615856,0.4083021,2.022189,boundary
1.876245,-0.8187732,-0.410371,-0.8514185,-6.868647,1.555023,1.83321,0.3257651,1.915711,1.578136,2.852746,-0.8963377,1.656692,2.717528,boundary
-1.786988,0.06594925,2.186592,-0.9677503,-5.022478,-3.808826,-0.3221161,-5.447606,1.282768,2.155299,0.9033301,0.5017124,-0.3912247,1.983598,boundary
-1.674325,-0.9079422,2.834002,-1.231384,3.232697,0.2392953,-1.628808,-5.352362,3.571934,-0.04593322,2.832767,3.571715,1.346891,4.212294,boundary
0.9663712,-0.3926102,1.684644,-1.653522,-5.182061,-0.4713557,1.245054,2.463105,1.926758,0.5092319,2.034562,-0.7499292,1.839258,2.841506,boundary
-0.9204137,0.2239772,3.389735,-0.8974302,-0.2249577,-1.75977,0.08802617,-4.502277,2.05447,0.6248851,1.021727,2.073979,0.515542,3.941041,boundary
-1.451255,-0.7763865,2.298767,-1.259746,-2.788086,-1.67348,-1.004202,-2.801674,1.941058,-1.793257,0.2756412,1.655374,0.8350706,2.923887,boundary
1.315443,0.403367,2.460396,0.004956992,2.526129,-0.4380043,0.8601819,1.533963,2.478777,-1.197109,1.104228,1.307593,2.781391,3.137063,boundary
0.4203948,-0.5162311,0.8446639,-1.511571,-4.436569,-0.8908538,1.04247,2.410937,-1.184871,-3.048024,-2.60511,-1.337566,-0.2307711,1.392795,boundary
-1.591511,-1.202122,1.393463,-0.9572324,-3.083493,-2.884705,-1.157221,-2.087276,-0.9653817,-2.495321,-1.411038,-0.3675664,-0.2757912,0.286954,boundary
5.164877,1.320859,-1.925875,0.6169825,-3.015938,4.538223,-0.1876353,-3.93137,-4.322433,-7.135093,-5.623192,-2.749285,-0.3814864,-0.9683359,S  1
0.4252466,1.290279,1.777873,-3.180837,-0.2162339,-3.758951,-2.342842,-5.237385,-6.597899,-9.03298,-8.595752,-1.019364,-3.972515,-2.10948,S  1
-1.843207,2.519282,1.189239,-1.127017,1.237213,-7.088074,0.597104,3.10922,-0.005606716,0.2500542,-0.3594659,1.719704,0.01232872,1.041822,S  1
7.800453,0.6990221,-3.405082,1.526742,-3.610043,10.86705,1.282318,-4.970532,-3.196777,-5.528117,-3.859995,-3.26779,1.571702,-0.8006933,S  1
3.558996,0.7879605,-1.849223,0.2102361,-0.5559943,1.998928,1.179922,3.002485,-4.532363,-5.846235,-5.504713,-2.881028,-0.2450809,-2.316547,S  1
-3.439651,-0.7590812,-3.669429,-4.784009,-2.211747,-9.302789,-0.4087035,-0.3999753,-4.65872,-4.992459,-6.150554,-4.189197,-5.59199,-3.789527,S  1
5.28662,-0.2065372,-2.70121,0.2565356,-2.12855,9.691262,0.4082927,-1.874951,-2.581333,-3.450946,-1.613908,-2.937191,1.05192,-0.6366305,S  1
-0.5587817,-0.9760595,-3.510036,0.03318548,-1.030613,-3.072147,1.885088,2.264632,-2.957749,-2.850413,-1.87966,-1.993756,-0.5501992,-1.239933,S  1
1.089445,-1.115059,-6.249574,-2.077271,-4.904902,1.155925,0.1765182,1.590276,-6.971623,-6.245825,-6.70605,-6.915551,-3.446106,-4.167774,S  1
4.527928,-1.029021,-3.357136,-0.4880383,-5.302591,6.833209,0.1063137,2.28274,-4.737336,-5.09339,-3.130956,-5.409606,-0.6270948,-1.497039,S  1
-10.92748,-2.843307,-3.615569,-5.055115,0.647322,-16.78576,-1.80375,-1.690566,-3.518877,-4.120802,-2.075568,-0.8493327,-7.334539,-2.566416,S  1
5.47747,1.400132,-2.465346,3.012265,-2.745497,10.914,1.693973,3.974341,-0.339064,0.5971772,1.888072,-1.195223,3.266439,1.506246,S  1
6.460744,0.5518954,-2.413334,1.080766,-5.463967,5.732972,1.277808,4.596067,-5.852335,-7.426468,-5.763375,-5.117204,-0.7424598,-1.339469,S  1
-10.13073,-2.476308,-3.42832,-4.4095,-1.510809,-14.99374,-1.444323,0.9788596,-2.717136,-4.94402,-2.06569,-1.599009,-7.574738,-2.920161,S  1
-0.4491709,0.3522944,-0.9611588,0.56153,-0.4865997,0.9549714,0.3869972,2.146631,4.636761,3.154008,5.784571,1.88616,0.1433871,2.407164,S  1
9.614295,2.080852,0.6819268,3.660433,0.3547274,11.0009,3.023081,4.151027,-3.787432,-6.817335,-5.606481,-1.195873,1.688671,-0.5958832,S  1
-2.496658,-0.417838,-2.276466,0.2440862,-6.052388,-7.603674,2.279439,4.402412,1.103404,-2.121021,0.4096531,-2.31554,-2.772513,-0.7344398,S  1
-4.936886,-2.765543,-3.11621,-3.242577,-0.3761975,-8.40144,-0.1129818,-1.090009,-0.149098,-3.292593,-0.8387794,-1.797096,-5.328029,-2.184005,S  1
8.02512,-1.248781,-1.846578,2.19646,-2.345613,10.86497,3.339977,2.629879,-2.920723,-5.995009,-4.521389,-3.392593,0.7076923,-2.309223,S  1
-1.88881,-0.7752808,-1.117035,0.01685316,-3.95198,-8.103471,2.231299,4.826165,2.001477,-1.31876,-0.0423234,-2.384792,-2.463814,-0.976198,S  1
0.679999,-2.920416,-3.137361,-1.926479,-1.788248,-1.743591,1.365654,-8.131221,-7.02236,-8.044454,-7.307189,-5.174688,-3.374259,-4.338298,S  1
0.7909006,-4.145382,-8.469499,-2.315073,-11.59371,-2.738959,2.886176,9.14692,-5.049132,-4.858538,-5.618614,-8.1078,-5.430984,-4.444801,boundary
