segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,labels
-4.15314,-4.277754,-3.192258,-4.505961,1.525223,-3.284761,-0.8342044,-0.6252114,-2.294136,-1.347075,-2.327835,-3.117792,boundary
0.6464579,-3.953907,-3.225517,-4.107739,3.588287,-2.93731,-3.765268,-4.934284,-5.015646,-0.9652107,-3.120625,-2.887561,boundary
-0.06210245,0.1608237,6.599192,0.4862312,0.689734,-0.5398919,3.922979,3.055036,0.5152572,4.465804,1.794244,3.297402,boundary
-1.775313,-0.1779418,3.045629,-1.193519,5.151362,-4.389928,1.570791,-2.318979,-3.094345,3.572347,-2.990535,-0.1414534,boundary
0.05031041,2.145485,4.041218,1.780594,2.17175,-1.377282,3.008207,0.62553,0.59332,3.644823,1.914356,2.346204,boundary
6.136901,2.954214,8.923441,6.731091,5.531862,8.887776,8.931045,8.112478,8.520522,9.224692,10.89298,8.996677,boundary
4.290913,3.246891,7.868114,4.608934,6.215246,3.358131,4.166307,1.973252,2.984864,8.032077,6.122817,5.686646,boundary
4.340636,3.505333,2.936729,4.325062,1.925699,4.787976,2.936021,1.309081,3.327849,4.073753,6.151854,4.666214,boundary
7.839398,2.840258,1.635334,6.957118,0.2526681,11.96813,4.22336,5.717834,7.119808,3.880088,11.33193,6.304528,boundary
8.397986,3.938839,4.918061,6.617081,4.532583,9.379869,2.33576,3.272201,5.228527,5.80592,10.39754,5.705246,boundary
5.755023,1.424347,-1.846853,2.643771,-2.396388,7.89158,-1.878496,-0.496197,1.68095,-1.376639,5.916675,1.259774,boundary
4.148211,0.6060088,-5.701427,1.322042,-5.295677,6.270829,-5.457341,-2.327589,-0.4619854,-4.429708,3.273477,-1.570168,boundary
-1.144984,-0.09083608,-5.070804,-2.408132,-2.314389,0.9787707,-2.334106,-1.714619,-2.544798,0.7219094,0.3310419,-1.460283,boundary
-1.831293,-0.4679061,-2.067134,-1.800289,1.714686,0.3406743,-1.992133,-1.612995,-3.074856,1.201182,-0.2527384,-1.855078,boundary
1.270635,-1.223048,-5.008625,-1.573484,-3.341296,2.540473,-1.727481,-0.5074786,-2.716763,-1.123026,0.9329481,-2.10507,boundary
-3.860998,-0.4813443,-3.549636,-5.209,-11.91625,-7.463705,-12.70225,-11.40966,-13.1942,-7.246698,-8.972647,-7.207119,boundary
-4.818485,0.727967,-1.996439,-4.367458,-5.805762,-8.070824,-9.952426,-9.883883,-11.89922,-4.891995,-8.710162,-6.454672,boundary
-3.994327,-1.408251,-4.151765,-5.200321,-8.031023,-7.939795,-10.45487,-10.39816,-13.09396,-7.090678,-9.879258,-9.117022,boundary
-4.157024,-1.812167,-3.343663,-6.585042,-15.73303,-9.429098,-14.13975,-12.34186,-14.46856,-10.96992,-10.80258,-9.992832,boundary
-8.751789,-1.106939,-4.45557,-8.748977,-9.048773,-13.7538,-15.21832,-15.84432,-18.04922,-9.753231,-15.55353,-11.34182,boundary
-7.169867,-2.253986,-2.496707,-7.302784,-10.15244,-13.85741,-14.3781,-14.87212,-17.17542,-9.220727,-14.82126,-11.45208,boundary
-3.938617,-2.130468,-3.127189,-5.582441,-10.41722,-7.582901,-10.31235,-9.641168,-12.10772,-8.149312,-8.3123,-8.412632,boundary
-6.424712,-2.564262,-2.215956,-6.353163,-3.626074,-8.857832,-10.23247,-10.34681,-12.92873,-5.491719,-9.809973,-7.532469,boundary
4.148211,0.6060088,-5.701427,1.322042,-5.295677,6.270829,-5.457341,-2.327589,-0.4619854,-4.429708,3.273477,-1.570168,S  9
-1.144984,-0.09083608,-5.070804,-2.408132,-2.314389,0.9787707,-2.334106,-1.714619,-2.544798,0.7219094,0.3310419,-1.460283,S  9
-1.831293,-0.4679061,-2.067134,-1.800289,1.714686,0.3406743,-1.992133,-1.612995,-3.074856,1.201182,-0.2527384,-1.855078,S  9
